month,s1,m1,m2,m3,m4,m5,m6,S1.2,M1.2,M2.2,M3.2,M4.2,M5.2,M6.2,float
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
13,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
