,DateTime,Day,Day reg,Night reg,L1 reg
0,2014-08-06,Wed,name,name,name
1,2014-08-07,Thu,name,name,name
2,2014-08-08,Fri,name,name,name
3,2014-08-09,Sat,name,name,name
4,2014-08-10,Sun,name,name,name
5,2014-08-11,Mon,name,name,name
6,2014-08-12,Tue,name,name,name
7,2014-08-13,Wed,name,name,name
8,2014-08-14,Thu,name,name,name
9,2014-08-15,Fri,name,name,name
10,2014-08-16,Sat,name,name,name
11,2014-08-17,Sun,name,name,name
12,2014-08-18,Mon,name,name,name
13,2014-08-19,Tue,name,name,name
14,2014-08-20,Wed,name,name,name
15,2014-08-21,Thu,name,name,name
16,2014-08-22,Fri,name,name,name
17,2014-08-23,Sat,name,name,name
18,2014-08-24,Sun,name,name,name
19,2014-08-25,Mon,name,name,name
20,2014-08-26,Tue,name,name,name
21,2014-08-27,Wed,name,name,name
22,2014-08-28,Thu,name,name,name
23,2014-08-29,Fri,name,name,name
24,2014-08-30,Sat,name,name,name
25,2014-08-31,Sun,name,name,name
26,2014-09-01,Mon,name,name,name
27,2014-09-02,Tue,name,name,name
28,2014-09-03,Wed,name,name,name
29,2014-09-04,Thu,name,name,name
30,2014-09-05,Fri,name,name,name
31,2014-09-06,Sat,name,name,name
32,2014-09-07,Sun,name,name,name
33,2014-09-08,Mon,name,name,name
34,2014-09-09,Tue,name,name,name
35,2014-09-10,Wed,name,name,name
36,2014-09-11,Thu,name,name,name
37,2014-09-12,Fri,name,name,name
38,2014-09-13,Sat,name,name,name
39,2014-09-14,Sun,name,name,name
40,2014-09-15,Mon,name,name,name
41,2014-09-16,Tue,name,name,name
42,2014-09-17,Wed,name,name,name
43,2014-09-18,Thu,name,name,name
44,2014-09-19,Fri,name,name,name
45,2014-09-20,Sat,name,name,name
46,2014-09-21,Sun,name,name,name
47,2014-09-22,Mon,name,name,name
48,2014-09-23,Tue,name,name,name
49,2014-09-24,Wed,name,name,name
50,2014-09-25,Thu,name,name,name
51,2014-09-26,Fri,name,name,name
52,2014-09-27,Sat,name,name,name
53,2014-09-28,Sun,name,name,name
54,2014-09-29,Mon,name,name,name
55,2014-09-30,Tue,name,name,name
56,2014-10-01,Wed,name,name,name
57,2014-10-02,Thu,name,name,name
58,2014-10-03,Fri,name,name,name
59,2014-10-04,Sat,name,name,name
60,2014-10-05,Sun,name,name,name
61,2014-10-06,Mon,name,name,name
62,2014-10-07,Tue,name,name,name
63,2014-10-08,Wed,name,name,name
64,2014-10-09,Thu,name,name,name
65,2014-10-10,Fri,name,name,name
66,2014-10-11,Sat,name,name,name
67,2014-10-12,Sun,name,name,name
68,2014-10-13,Mon,name,name,name
69,2014-10-14,Tue,name,name,name
70,2014-10-15,Wed,name,name,name
71,2014-10-16,Thu,name,name,name
72,2014-10-17,Fri,name,name,name
73,2014-10-18,Sat,name,name,name
74,2014-10-19,Sun,name,name,name
75,2014-10-20,Mon,name,name,name
76,2014-10-21,Tue,name,name,name
77,2014-10-22,Wed,name,name,name
78,2014-10-23,Thu,name,name,name
79,2014-10-24,Fri,name,name,name
80,2014-10-25,Sat,name,name,name
81,2014-10-26,Sun,name,name,name
82,2014-10-27,Mon,name,name,name
83,2014-10-28,Tue,name,name,name
84,2014-10-29,Wed,name,name,name
85,2014-10-30,Thu,name,name,name
86,2014-10-31,Fri,name,name,name
87,2014-11-01,Sat,name,name,name
88,2014-11-02,Sun,name,name,name
89,2014-11-03,Mon,name,name,name
90,2014-11-04,Tue,name,name,name
91,2014-11-05,Wed,name,name,name
