,DateTime,Day,Day reg,Night reg,L1 reg
0,2014-08-06,Wed,name7,name14,
1,2014-08-07,Thu,name7,name14,
2,2014-08-08,Fri,name1,name13,
3,2014-08-09,Sat,name1,name13,name5
4,2014-08-10,Sun,name1,name13,name5
5,2014-08-11,Mon,name10,name6,
6,2014-08-12,Tue,name10,name6,
7,2014-08-13,Wed,name10,name6,
8,2014-08-14,Thu,name10,name6,
9,2014-08-15,Fri,name8,name9,
10,2014-08-16,Sat,name8,name9,name12
11,2014-08-17,Sun,name8,name9,name12
12,2014-08-18,Mon,name3,name1,
13,2014-08-19,Tue,name3,name1,
14,2014-08-20,Wed,name3,name1,
15,2014-08-21,Thu,name3,name1,
16,2014-08-22,Fri,name2,name10,
17,2014-08-23,Sat,name2,name10,name5
18,2014-08-24,Sun,name2,name10,name5
19,2014-08-25,Mon,name13,name8,
20,2014-08-26,Tue,name13,name8,
21,2014-08-27,Wed,name13,name8,
22,2014-08-28,Thu,name13,name8,
23,2014-08-29,Fri,name6,name3,
24,2014-08-30,Sat,name6,name3,
25,2014-08-31,Sun,name6,name3,
26,2014-09-01,Mon,name7,name7,name14
27,2014-09-02,Tue,name7,name7,name14
28,2014-09-03,Wed,name8,name15,
29,2014-09-04,Thu,name8,name15,
30,2014-09-05,Fri,name2,name14,
31,2014-09-06,Sat,name2,name14,name6
32,2014-09-07,Sun,name2,name14,name6
33,2014-09-08,Mon,name11,name7,
34,2014-09-09,Tue,name11,name7,
35,2014-09-10,Wed,name11,name7,
36,2014-09-11,Thu,name11,name7,
37,2014-09-12,Fri,name9,name10,
38,2014-09-13,Sat,name9,name10,name13
39,2014-09-14,Sun,name9,name10,name13
40,2014-09-15,Mon,name4,name2,
41,2014-09-16,Tue,name4,name2,
42,2014-09-17,Wed,name4,name2,
43,2014-09-18,Thu,name4,name2,
44,2014-09-19,Fri,name3,name11,
45,2014-09-20,Sat,name3,name11,name6
46,2014-09-21,Sun,name3,name11,name6
47,2014-09-22,Mon,name14,name9,
48,2014-09-23,Tue,name14,name9,
49,2014-09-24,Wed,name14,name9,
50,2014-09-25,Thu,name14,name9,
51,2014-09-26,Fri,name7,name4,
52,2014-09-27,Sat,name7,name4,
53,2014-09-28,Sun,name7,name4,
54,2014-09-29,Mon,name8,name8,name15
55,2014-09-30,Tue,name8,name8,name15
56,2014-10-01,Wed,name9,name1,
57,2014-10-02,Thu,name9,name1,
58,2014-10-03,Fri,name3,name15,
59,2014-10-04,Sat,name3,name15,name7
60,2014-10-05,Sun,name3,name15,name7
61,2014-10-06,Mon,name12,name8,
62,2014-10-07,Tue,name12,name8,
63,2014-10-08,Wed,name12,name8,
64,2014-10-09,Thu,name12,name8,
65,2014-10-10,Fri,name10,name11,
66,2014-10-11,Sat,name10,name11,name14
67,2014-10-12,Sun,name10,name11,name14
68,2014-10-13,Mon,name5,name3,
69,2014-10-14,Tue,name5,name3,
70,2014-10-15,Wed,name5,name3,
71,2014-10-16,Thu,name5,name3,
72,2014-10-17,Fri,name4,name12,
73,2014-10-18,Sat,name4,name12,name7
74,2014-10-19,Sun,name4,name12,name7
75,2014-10-20,Mon,name15,name10,
76,2014-10-21,Tue,name15,name10,
77,2014-10-22,Wed,name15,name10,
78,2014-10-23,Thu,name15,name10,
79,2014-10-24,Fri,name8,name5,
80,2014-10-25,Sat,name8,name5,
81,2014-10-26,Sun,name8,name5,
82,2014-10-27,Mon,name9,name9,name1
83,2014-10-28,Tue,name9,name9,name1
84,2014-10-29,Wed,name10,name2,
85,2014-10-30,Thu,name10,name2,
86,2014-10-31,Fri,name4,name1,
87,2014-11-01,Sat,name4,name1,name8
88,2014-11-02,Sun,name4,name1,name8
89,2014-11-03,Mon,name13,name9,
90,2014-11-04,Tue,name13,name9,
91,2014-11-05,Wed,name13,name9,
92,2014-11-06,Thu,name13,name9,
93,2014-11-07,Fri,name11,name12,
94,2014-11-08,Sat,name11,name12,name15
95,2014-11-09,Sun,name11,name12,name15
96,2014-11-10,Mon,name6,name4,
97,2014-11-11,Tue,name6,name4,
98,2014-11-12,Wed,name6,name4,
99,2014-11-13,Thu,name6,name4,
100,2014-11-14,Fri,name5,name13,
101,2014-11-15,Sat,name5,name13,name8
102,2014-11-16,Sun,name5,name13,name8
103,2014-11-17,Mon,name1,name11,
